id,name,x,y,type,fullname,state,etymology,common,hamilton,language,granularlanguage,etycount,category,subcategory,ety1,cat2,subcat2,ety2,cat3,subcat3,ety3,cat4,subcat4,ety4,year
51620,Franklin,,,City,City of Franklin,Virginia,"Named for Benjamin Franklin (1706–1790), one of the Founding Fathers of the United States.",TRUE,,euro,,,people,man,,,,,,,,,,,1961
21051,Clay ,57.0,29.0,County,Clay County,Kentucky,"Named for Green Clay (1757–1826), a Kentucky politician and cousin of Henry Clay who fought in the Revolutionary War and War of 1812.",TRUE,,euro,,,people,man,,,,,,,,,,,1807
20027,Clay ,27.0,21.0,County,Clay County,Kansas,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1857
01027,Clay ,51.5,42.0,County,Clay County,Alabama,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1866
12019,Clay ,64.5,50.0,County,Clay County,Florida,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1858
13061,Clay ,53.0,47.0,County,Clay County,Georgia,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1854
17025,Clay ,44.5,22.0,County,Clay County,Illinois,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1824
18021,Clay ,47.5,20.0,County,Clay County,Indiana,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1830
27027,Clay ,30.5,4.0,County,Clay County,Minnesota,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1858
28025,Clay ,45.5,40.0,County,Clay County,Mississippi,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1871
29047,Clay ,33.0,21.0,County,Clay County,Missouri,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1822
31035,Clay ,24.5,18.0,County,Clay County,Nebraska,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1855
37043,Clay ,58.0,35.0,County,Clay County,North Carolina,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1861
46027,Clay ,27.0,11.0,County,Clay County,South Dakota,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1862
47027,Clay ,52.0,31.0,County,Clay County,Tennessee,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1870
48077,Clay ,26.5,34.0,County,Clay County,Texas,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1857
54015,Clay ,63.0,23.0,County,Clay County,West Virginia,"Named for Henry Clay (1777–1852), U.S. legislator from Kentucky.",TRUE,,euro,,,people,man,,,,,,,,,,,1858
19041,Clay ,31.5,10.0,County,Clay County,Iowa,"Named for Henry Clay, Jr. (1807–1847), officer in the Mexican–American War.",TRUE,,euro,,,people,man,,,,,,,,,,,1851
05021,Clay ,40.5,30.0,County,Clay County,Arkansas,"Named for John M. Clayton, a state senator.",TRUE,,euro,,,people,man,,,,,,,,,,,1873
01059,Franklin ,47.5,38.0,County,Franklin County,Alabama,"Named for Benjamin Franklin (1706–1790), one of the Founding Fathers of the United States.",TRUE,,euro,,,people,man,,,,,,,,,,,1818
05047,Franklin ,34.5,32.0,County,Franklin County,Arkansas,"Named for Benjamin Franklin (1706–1790), one of the Founding Fathers of the United States.",TRUE,,euro,,,people,man,,,,,,,,,,,1837
12037,Franklin ,56.5,52.0,County,Franklin County,Florida,"Named for Benjamin Franklin (1706–1790), one of the Founding Fathers of the United States.",TRUE,,euro,,,people,man,,,,,,,,,,,1832
13119,Franklin ,59.5,38.0,County,Franklin County,Georgia,"Named for Benjamin Franklin (1706–1790), one of the Founding Fathers of the United States.",TRUE,,euro,,,people,man,,,,,,,,,,,1784
