name,gender,species,year,county,count
AADEN,M,human,2008,Bronx,11
AADEN,M,human,2008,Kings,10
AADEN,M,human,2009,Bronx,18
AAHIL,M,human,2014,Kings,10
AALIYAH,F,human,2007,Bronx,28
AALIYAH,F,human,2007,Kings,33
AALIYAH,F,human,2007,New York,11
AALIYAH,F,human,2007,Queens,15
AALIYAH,F,human,2008,Bronx,27
AALIYAH,F,human,2008,Kings,35
AALIYAH,F,human,2008,New York,11
AALIYAH,F,human,2008,Queens,17
AALIYAH,F,human,2009,Bronx,41
AALIYAH,F,human,2009,Kings,42
AALIYAH,F,human,2009,New York,17
AALIYAH,F,human,2009,Queens,34
AALIYAH,F,human,2010,Bronx,38
AALIYAH,F,human,2010,Kings,46
AALIYAH,F,human,2010,New York,11
AALIYAH,F,human,2010,Queens,21
AALIYAH,F,human,2010,Richmond,12
AALIYAH,F,human,2011,Bronx,51
AALIYAH,F,human,2011,Kings,43
AALIYAH,F,human,2011,New York,12
AALIYAH,F,human,2011,Queens,36
AALIYAH,F,human,2012,Bronx,32
AALIYAH,F,human,2012,Kings,48
AALIYAH,F,human,2012,New York,15
AALIYAH,F,human,2012,Queens,38
AALIYAH,F,human,2013,Bronx,36
AALIYAH,F,human,2013,Kings,50
AALIYAH,F,human,2013,New York,14
AALIYAH,F,human,2013,Queens,44
AALIYAH,F,human,2014,Bronx,44
AALIYAH,F,human,2014,Kings,47
AALIYAH,F,human,2014,New York,19
AALIYAH,F,human,2014,Queens,27
AALIYAH,F,human,2015,Bronx,33
AALIYAH,F,human,2015,Kings,42
AALIYAH,F,human,2015,New York,18
AALIYAH,F,human,2015,Queens,26
AARAV,M,human,2014,Queens,6
AARIZ,M,human,2014,Queens,5
AARON,M,human,2007,Bronx,70
AARON,M,human,2007,Kings,91
AARON,M,human,2007,New York,52
AARON,M,human,2007,Queens,83
AARON,M,human,2008,Bronx,57
AARON,M,human,2008,Kings,80
AARON,M,human,2008,New York,41
AARON,M,human,2008,Queens,84
AARON,M,human,2008,Richmond,12
AARON,M,human,2009,Bronx,52
AARON,M,human,2009,Kings,108
AARON,M,human,2009,New York,46
AARON,M,human,2009,Queens,70
AARON,M,human,2009,Richmond,11
AARON,M,human,2010,Bronx,56
AARON,M,human,2010,Kings,104
AARON,M,human,2010,New York,48
AARON,M,human,2010,Queens,78
AARON,M,human,2011,Bronx,56
AARON,M,human,2011,Kings,99
AARON,M,human,2011,New York,46
AARON,M,human,2011,Queens,77
AARON,M,human,2012,Bronx,63
AARON,M,human,2012,Kings,115
AARON,M,human,2012,New York,58
AARON,M,human,2012,Queens,95
AARON,M,human,2012,Richmond,12
AARON,M,human,2013,Bronx,49
AARON,M,human,2013,Kings,99
AARON,M,human,2013,New York,38
AARON,M,human,2013,Queens,106
AARON,M,human,2013,Richmond,11
AARON,M,human,2014,Bronx,67
AARON,M,human,2014,Kings,109
AARON,M,human,2014,New York,38
AARON,M,human,2014,Queens,90
AARON,M,human,2014,Richmond,9
AARON,M,human,2015,Bronx,80
AARON,M,human,2015,Kings,90
AARON,M,human,2015,New York,29
AARON,M,human,2015,Queens,93
AARON,M,human,2015,Richmond,13
AARYA,F,human,2014,Queens,7
AAYAN,M,human,2009,Queens,12
AAYAN,M,human,2012,Queens,10
AAYAN,M,human,2014,Queens,7
ABBA,M,human,2014,Kings,6
ABBY,F,human,2012,Kings,10
ABBY,F,human,2013,Kings,14
ABBY,F,human,2014,Kings,18
ABBY,F,human,2014,New York,6
ABBY,F,human,2014,Queens,11
ABBY,F,human,2015,Kings,16
ABBY,F,human,2015,Queens,11
ABDIEL,M,human,2011,Bronx,10
ABDOUL,M,human,2014,Bronx,6
ABDOULAYE,M,human,2011,Bronx,10
ABDOULAYE,M,human,2013,Bronx,12
ABDOULAYE,M,human,2014,Bronx,9
ABDUL,M,human,2008,Bronx,13
ABDUL,M,human,2009,Kings,13
ABDUL,M,human,2011,Kings,12
ABDUL,M,human,2014,Bronx,5
ABDUL,M,human,2014,Kings,8
ABDUL,M,human,2014,Queens,7
ABDULLAH,M,human,2007,Kings,11
ABDULLAH,M,human,2007,Queens,15
ABDULLAH,M,human,2008,Kings,11
ABDULLAH,M,human,2009,Kings,13
ABDULLAH,M,human,2009,Queens,10
ABDULLAH,M,human,2010,Kings,10
ABDULLAH,M,human,2011,Kings,22
ABDULLAH,M,human,2011,Queens,10
ABDULLAH,M,human,2012,Kings,18
ABDULLAH,M,human,2013,Kings,15
ABDULLAH,M,human,2013,Queens,12
ABDULLAH,M,human,2014,Bronx,8
ABDULLAH,M,human,2014,Kings,10
ABDULLAH,M,human,2014,Queens,17
ABDULLAH,M,human,2015,Bronx,13
ABDULLAH,M,human,2015,Kings,11
ABDULLAH,M,human,2015,Queens,13
ABDULRAHMAN,M,human,2014,Kings,5
ABE,M,human,2014,Kings,8
ABEL,M,human,2012,Bronx,11
ABEL,M,human,2013,Bronx,15
ABEL,M,human,2013,Queens,10
ABEL,M,human,2014,Bronx,6
ABEL,M,human,2014,Kings,5
ABEL,M,human,2014,New York,5
ABEL,M,human,2014,Queens,5
ABEL,M,human,2015,Kings,16
ABIGAIL,F,human,2007,Bronx,42
ABIGAIL,F,human,2007,Kings,81
ABIGAIL,F,human,2007,New York,46
ABIGAIL,F,human,2007,Queens,64
ABIGAIL,F,human,2007,Richmond,15
ABIGAIL,F,human,2008,Bronx,35
ABIGAIL,F,human,2008,Kings,82
ABIGAIL,F,human,2008,New York,34
ABIGAIL,F,human,2008,Queens,68
ABIGAIL,F,human,2008,Richmond,14
ABIGAIL,F,human,2009,Bronx,38
ABIGAIL,F,human,2009,Kings,72
ABIGAIL,F,human,2009,New York,56
ABIGAIL,F,human,2009,Queens,85
ABIGAIL,F,human,2009,Richmond,15
ABIGAIL,F,human,2010,Bronx,38
ABIGAIL,F,human,2010,Kings,79
ABIGAIL,F,human,2010,New York,48
ABIGAIL,F,human,2010,Queens,100
ABIGAIL,F,human,2010,Richmond,12
ABIGAIL,F,human,2011,Bronx,46
ABIGAIL,F,human,2011,Kings,74
ABIGAIL,F,human,2011,New York,52
ABIGAIL,F,human,2011,Queens,85
ABIGAIL,F,human,2011,Richmond,13
ABIGAIL,F,human,2012,Bronx,48
ABIGAIL,F,human,2012,Kings,91
ABIGAIL,F,human,2012,New York,47
ABIGAIL,F,human,2012,Queens,93
ABIGAIL,F,human,2012,Richmond,15
ABIGAIL,F,human,2013,Bronx,48
ABIGAIL,F,human,2013,Kings,78
ABIGAIL,F,human,2013,New York,41
ABIGAIL,F,human,2013,Queens,90
ABIGAIL,F,human,2013,Richmond,17
ABIGAIL,F,human,2014,Bronx,50
ABIGAIL,F,human,2014,Kings,68
ABIGAIL,F,human,2014,New York,62
ABIGAIL,F,human,2014,Queens,97
ABIGAIL,F,human,2014,Richmond,17
ABIGAIL,F,human,2015,Bronx,55
ABIGAIL,F,human,2015,Kings,94
ABIGAIL,F,human,2015,New York,38
ABIGAIL,F,human,2015,Queens,110
ABIGAIL,F,human,2015,Richmond,18
ABOUBACAR,M,human,2014,Bronx,8
ABRAHAM,M,human,2007,Bronx,16
ABRAHAM,M,human,2007,Kings,101
ABRAHAM,M,human,2007,New York,13
ABRAHAM,M,human,2008,Kings,119
ABRAHAM,M,human,2008,Queens,23
ABRAHAM,M,human,2009,Kings,100
ABRAHAM,M,human,2009,Queens,20
ABRAHAM,M,human,2010,Bronx,14
ABRAHAM,M,human,2010,Kings,131
ABRAHAM,M,human,2010,New York,10
ABRAHAM,M,human,2010,Queens,19
ABRAHAM,M,human,2011,Kings,157
ABRAHAM,M,human,2011,New York,10
