name,gender,species,breed,year,county
166Y,M,dog,Pug,2012,New York
2CHAINZ,M,dog,American Pit Bull Terrier/Pit Bull,2012,Queens
2J,M,dog,American Pit Bull Terrier/Pit Bull,2013,Queens
A,M,dog,Yorkshire Terrier,2014,Bronx
A-JAY,M,dog,Golden Retriever,2011,Bronx
A.J.,M,dog,Beagle,2013,Queens
A.J.,M,dog,Maltese,2011,Queens
A.J.,M,dog,Unknown,2012,New York
AALIYAH,F,dog,Unknown,2010,New York
AALIYAH,F,dog,Doberman Pinscher,2012,Queens
AALSKA,F,dog,American Eskimo dog,2012,Queens
AARAV,M,dog,Yorkshire Terrier,2007,New York
AARON,M,dog,Labrador Retriever,2008,New York
AARON,M,dog,Labrador Retriever Crossbreed,2011,Kings
AARON,M,dog,Unknown,2011,New York
AARON,M,dog,"Poodle, Standard",2012,Queens
AARON,M,dog,"Poodle, Standard",2012,Queens
AARON,M,dog,American Pit Bull Terrier/Pit Bull,2013,Kings
AARYN,F,dog,Australian Cattledog,2012,New York
AB-BINGO,M,dog,Unknown,2008,Kings
ABACA,M,dog,Yorkshire Terrier,2010,Bronx
ABAGAIL,F,dog,American Pit Bull Terrier/Pit Bull,2013,Kings
ABBA,F,dog,American Pit Bull Mix / Pit Bull Mix,2013,Kings
ABBEY,F,dog,German Shepherd Dog,2007,Richmond
ABBEY,F,dog,American Pit Bull Mix / Pit Bull Mix,2008,Kings
ABBEY,F,dog,Pekingese,2008,Richmond
ABBEY,F,dog,Labrador Retriever Crossbreed,2009,Bronx
ABBEY,F,dog,Rhodesian Ridgeback,2009,New York
ABBEY,F,dog,Beagle Crossbreed,2010,Kings
ABBEY,F,dog,Whippet,2010,New York
ABBEY,F,dog,American Pit Bull Mix / Pit Bull Mix,2010,Richmond
ABBEY,F,dog,Beagle Crossbreed,2010,Richmond
ABBEY,F,dog,German Shepherd Crossbreed,2010,Richmond
ABBEY,F,dog,Brussels Griffon,2012,New York
ABBEY,F,dog,Labrador Retriever,2012,New York
ABBEY,F,dog,Petit Basset Griffon Vendeen,2012,New York
ABBEY,F,dog,Weimaraner,2012,Queens
