name,gender,species,breed,year,county
G,F,dog,Chihuahua,2013,New York
G,M,dog,Chow Chow,2011,New York
G-FLASHY,M,dog,Australian Shepherd,2010,Kings
G-MONAY,M,dog,Shih Tzu,2009,Kings
GABA,F,dog,Cotton De Tulear,2010,New York
GABBA,F,dog,Chihuahua,2008,Kings
GABBANA,M,dog,Cavalier King Charles Spaniel,2011,New York
GABBANA,M,dog,Yorkshire Terrier Crossbreed,2011,New York
GABBIE,F,dog,Dachshund Smooth Coat,2008,Richmond
GABBY,F,dog,Chow Chow,2007,Kings
GABBY,F,dog,Yorkshire Terrier,2007,Richmond
GABBY,F,dog,Cavalier King Charles Spaniel,2008,New York
GABBY,F,dog,Labrador Retriever,2008,New York
GABBY,F,dog,Norfolk Terrier,2008,New York
GABBY,F,dog,Pomeranian,2008,New York
GABBY,F,dog,Unknown,2008,New York
GABBY,F,dog,German Shepherd Crossbreed,2009,New York
GABBY,F,dog,Unknown,2009,Queens
GABBY,F,dog,Shiba Inu,2010,Queens
GABBY,F,dog,Shiba Inu,2010,Queens
GABBY,F,dog,Unknown,2010,Queens
GABBY,F,dog,Unknown,2010,Queens
GABBY,F,dog,Chihuahua,2011,New York
GABBY,F,dog,Dachshund Smooth Coat,2011,New York
GABBY,F,dog,Miniature Pinscher,2011,New York
GABBY,F,dog,Jack Russell Terrier,2011,Queens
GABBY,F,dog,Unknown,2011,Queens
GABBY,F,dog,Beagle,2012,Bronx
GABBY,F,dog,Miniature Schnauzer,2012,Kings
GABBY,F,dog,Basset Hound,2012,New York
GABBY,F,dog,Unknown,2012,New York
GABBY,F,dog,"Bull Dog, English",2012,Queens
GABBY,F,dog,Jack Russell Terrier,2013,New York
GABBY,F,dog,Pomeranian,2013,Queens
GABBY,F,dog,Unknown,2013,Queens
GABBY,F,dog,Staffordshire Bull Terrier,2013,Richmond
GABBY,F,dog,Labrador Retriever Crossbreed,2014,Queens
GABE,M,dog,Siberian Husky,2010,New York
GABE,M,dog,Rhodesian Ridgeback,2011,Kings
GABE,M,dog,French Bulldog,2013,New York
GABI,M,dog,Unknown,2011,Kings
GABRIEL,M,dog,Unknown,2009,New York
