name,gender,species,count
AALIYAH,F,human,1114
AALIYAH,M,human,0
AARON,M,dog,6
AARON,F,dog,0
AARYA,F,human,7
AARYA,M,human,0
ABBEY,F,dog,17
ABBEY,M,dog,0
ABBIE,F,dog,9
ABBIE,M,dog,0
ABBOTT,M,dog,5
ABBOTT,F,dog,0
ABBY,F,dog,107
ABBY,F,human,86
ABBY,M,dog,3
ABBY,M,human,0
ABE,M,dog,7
ABE,F,dog,0
ABIGAIL,F,human,2471
ABIGAIL,F,dog,24
ABIGAIL,M,dog,1
ABIGAIL,M,human,0
ABRAHAM,M,dog,6
ABRAHAM,F,dog,0
ABRIELLE,F,human,5
ABRIELLE,M,human,0
ACE,M,dog,103
ACE,F,dog,0
ACHILLES,M,dog,28
ACHILLES,F,dog,1
ADA,F,human,94
ADA,F,dog,7
ADA,M,human,0
ADA,M,dog,0
ADALYNN,F,human,6
ADALYNN,M,human,0
ADAM,M,dog,8
ADAM,F,dog,0
ADDIE,F,dog,14
ADDIE,M,dog,1
ADDISON,F,human,163
ADDISON,F,dog,9
ADDISON,M,human,0
ADDISON,M,dog,0
ADDY,F,dog,6
ADDY,M,dog,0
ADELAIDE,F,human,32
ADELAIDE,F,dog,10
ADELAIDE,M,human,0
ADELAIDE,M,dog,0
ADELE,F,human,99
ADELE,M,human,0
ADELINA,F,human,5
ADELINA,M,human,0
ADELINE,F,human,25
ADELINE,F,dog,5
ADELINE,M,human,0
ADELINE,M,dog,0
ADELYN,F,human,6
ADELYN,M,human,0
ADINA,F,human,148
ADINA,M,human,0
ADONIS,M,dog,5
ADONIS,F,dog,0
ADRIANA,F,human,793
ADRIANA,M,human,0
ADRIANNA,F,human,365
ADRIANNA,M,human,0
AGENT,M,dog,4
AGENT,F,dog,2
AGGIE,F,dog,12
AGGIE,M,dog,0
AGNES,F,dog,16
AGNES,F,human,10
AGNES,M,human,0
AGNES,M,dog,0
AHUVA,F,human,94
AHUVA,M,human,0
AICHA,F,human,31
AICHA,M,human,0
AIDA,F,human,5
AIDA,M,human,0
AIDEL,F,human,6
AIDEL,M,human,0
AIDEN,M,dog,5
AIDEN,F,dog,0
AIKO,F,dog,3
AIKO,M,dog,2
AILEEN,F,human,68
AILEEN,M,human,0
AIMEE,F,human,10
AIMEE,M,human,0
AISHA,F,human,308
AISHA,M,human,0
AISSATOU,F,human,18
AISSATOU,M,human,0
AIZA,F,human,16
AIZA,M,human,0
AJ,M,dog,21
AJ,F,dog,2
AJAX,M,dog,13
AJAX,F,dog,0
AKIRA,F,dog,7
AKIRA,M,dog,1
ALABAMA,F,dog,6
ALABAMA,M,dog,0
ALAIA,F,human,56
ALAIA,M,human,0
ALAINA,F,human,14
ALAINA,M,human,0
ALANA,F,human,392
ALANA,M,human,0
ALANI,F,human,32
ALANI,M,human,0
ALANIS,F,human,20
ALANIS,M,human,0
ALANNA,F,human,6
ALANNA,M,human,0
ALAYNA,F,human,5
ALAYNA,M,human,0
ALAYSIA,F,human,5
ALAYSIA,M,human,0
ALBERT,M,dog,14
ALBERT,F,dog,0
ALBIE,M,dog,10
ALBIE,F,dog,0
ALDO,M,dog,5
ALDO,F,dog,0
ALEAH,F,human,10
ALEAH,M,human,0
ALEENA,F,human,85
ALEENA,M,human,0
ALEJANDRA,F,human,36
ALEJANDRA,M,human,0
ALESSANDRA,F,human,92
ALESSANDRA,M,human,0
ALESSIA,F,human,11
ALESSIA,M,human,0
ALEX,M,dog,31
ALEX,F,dog,3
ALEXA,F,human,1163
ALEXA,M,human,0
ALEXANDER,M,dog,13
ALEXANDER,F,dog,0
ALEXANDRA,F,human,1381
ALEXANDRA,M,human,0
ALEXANDRIA,F,human,31
ALEXANDRIA,M,human,0
ALEXIA,F,human,78
ALEXIA,M,human,0
ALEXIS,F,human,551
ALEXIS,M,human,485
ALFIE,M,dog,32
ALFIE,F,dog,0
ALFRED,M,dog,7
ALFRED,F,dog,0
ALI,F,dog,8
ALI,M,dog,3
ALIA,F,human,18
ALIA,M,human,0
ALICE,F,human,730
ALICE,F,dog,25
ALICE,M,human,0
ALICE,M,dog,0
ALICIA,F,human,317
ALICIA,M,human,0
ALINA,F,human,492
ALINA,M,human,0
ALISA,F,human,58
ALISA,M,human,0
ALISHA,F,human,82
ALISHA,M,human,0
ALISON,F,human,263
ALISON,M,human,0
ALISSA,F,human,5
ALISSA,M,human,0
ALISSON,F,human,16
ALISSON,M,human,0
ALIYAH,F,human,377
ALIYAH,M,human,0
ALIZA,F,human,165
ALIZA,M,human,0
ALLEGRA,F,human,5
ALLEGRA,M,human,0
ALLIE,F,dog,17
ALLIE,M,dog,0
ALLISON,F,human,1081
ALLISON,M,human,0
ALLISSON,F,human,22
ALLISSON,M,human,0
ALLY,F,dog,11
ALLY,F,human,5
ALLY,M,human,0
ALLY,M,dog,0
ALLYSON,F,human,32
ALLYSON,M,human,0
ALMA,F,human,50
ALMA,F,dog,8
ALMA,M,human,0
ALMA,M,dog,0
ALONDRA,F,human,5
ALONDRA,M,human,0
ALPHA,M,dog,6
ALPHA,F,dog,1
ALVIN,M,dog,13
ALVIN,F,dog,1
ALYSON,F,human,5
ALYSON,M,human,0
ALYSSA,F,human,1409
ALYSSA,M,human,0
AMALIA,F,human,49
AMALIA,M,human,0
AMANDA,F,human,773
AMANDA,M,human,0
AMANI,F,human,45
AMANI,M,human,0
AMARA,F,human,12
AMARA,M,human,0
AMARIS,F,human,5
AMARIS,M,human,0
AMAYA,F,human,552
AMAYA,M,human,0
AMAYAH,F,human,6
AMAYAH,M,human,0
AMBER,F,human,497
AMBER,F,dog,44
AMBER,M,human,0
AMBER,M,dog,0
AMEERA,F,human,11
AMEERA,M,human,0
AMEERAH,F,human,5
AMEERAH,M,human,0
AMELIA,F,human,1271
AMELIA,F,dog,12
AMELIA,M,human,0
AMELIA,M,dog,0
AMELIE,F,human,31
AMELIE,M,human,0
AMIA,F,human,23
AMIA,M,human,0
AMIGO,M,dog,5
AMIGO,F,dog,0
AMINA,F,human,303
AMINA,M,human,0
AMINAH,F,human,5
AMINAH,M,human,0
AMINATA,F,human,151
AMINATA,M,human,0
AMIRA,F,human,228
AMIRA,M,human,0
AMIRAH,F,human,70
AMIRAH,M,human,0
AMIYA,F,human,22
AMIYA,M,human,0
AMIYAH,F,human,126
AMIYAH,M,human,0
AMORA,F,dog,6
AMORA,M,dog,0
AMY,F,human,1028
AMY,F,dog,27
AMY,M,human,0
AMY,M,dog,0
AMYA,F,human,10
AMYA,M,human,0
ANA,F,human,296
ANA,M,human,0
ANABEL,F,human,5
ANABEL,M,human,0
ANABELLA,F,human,6
ANABELLA,M,human,0
ANABELLE,F,human,17
ANABELLE,M,human,0
ANABIA,F,human,5
ANABIA,M,human,0
ANAIS,F,human,20
ANAIS,M,human,0
ANALIA,F,human,40
ANALIA,M,human,0
ANASTASIA,F,human,251
ANASTASIA,F,dog,8
ANASTASIA,M,human,0
ANASTASIA,M,dog,0
ANAYA,F,human,250
ANAYA,M,human,0
ANAYAH,F,human,18
ANAYAH,M,human,0
ANDREA,F,human,592
ANDREA,M,human,0
ANDREW,M,dog,4
ANDREW,F,dog,1
ANDY,M,dog,34
ANDY,F,dog,3
ANGEL,M,human,2485
ANGEL,F,human,196
ANGEL,F,dog,73
ANGEL,M,dog,32
ANGELA,F,human,697
ANGELA,F,dog,5
ANGELA,M,human,0
ANGELA,M,dog,0
ANGELICA,F,human,284
ANGELICA,M,human,0
ANGELINA,F,human,1531
ANGELINA,F,dog,6
ANGELINA,M,human,0
ANGELINA,M,dog,0
ANGELINE,F,human,12
ANGELINE,M,human,0
ANGELIQUE,F,human,88
ANGELIQUE,M,human,0
ANGELO,M,dog,8
ANGELO,F,dog,0
ANGIE,F,human,209
ANGIE,F,dog,23
ANGIE,M,dog,1
ANGIE,M,human,0
ANGUS,M,dog,15
ANGUS,F,dog,0
ANI,F,dog,5
ANI,M,dog,0
ANIKA,F,human,27
ANIKA,M,human,0
ANISA,F,human,52
ANISA,M,human,0
ANITA,F,human,11
ANITA,M,human,0
ANIYA,F,human,118
ANIYA,M,human,0
ANIYAH,F,human,326
ANIYAH,M,human,0
ANJALI,F,human,36
ANJALI,M,human,0
ANNA,F,human,1207
ANNA,F,dog,13
ANNA,M,human,0
ANNA,M,dog,0
ANNABEL,F,human,63
ANNABEL,M,human,0
ANNABELLA,F,human,26
ANNABELLA,F,dog,5
ANNABELLA,M,human,0
ANNABELLA,M,dog,0
ANNABELLE,F,human,300
ANNABELLE,F,dog,18
ANNABELLE,M,human,0
ANNABELLE,M,dog,0
ANNALISE,F,human,11
ANNALISE,M,human,0
ANNE,F,human,35
ANNE,M,human,0
ANNIE,F,human,188
ANNIE,F,dog,53
ANNIE,M,human,0
ANNIE,M,dog,0
ANNIKA,F,human,5
ANNIKA,M,human,0
ANTHONY,M,dog,10
ANTHONY,F,dog,0
ANTONELLA,F,human,22
ANTONELLA,M,human,0
ANTONIA,F,human,11
ANTONIA,M,human,0
ANUBIS,M,dog,5
ANUBIS,F,dog,3
ANYA,F,human,70
ANYA,F,dog,6
ANYA,M,human,0
ANYA,M,dog,0
APACHE,M,dog,6
APACHE,F,dog,2
APOLLO,M,dog,79
APOLLO,F,dog,0
APPA,M,dog,5
APPA,F,dog,1
APPLE,F,dog,16
APPLE,M,dog,3
APRIL,F,human,49
APRIL,F,dog,35
APRIL,M,human,0
APRIL,M,dog,0
ARABELLA,F,human,30
ARABELLA,F,dog,5
ARABELLA,M,human,0
ARABELLA,M,dog,0
ARCHER,M,dog,16
ARCHER,F,dog,2
ARCHIE,M,dog,68
ARCHIE,F,dog,3
ARDEN,F,human,5
ARDEN,M,human,0
ARELY,F,human,5
ARELY,M,human,0
ARES,M,dog,16
ARES,F,dog,0
ARGOS,M,dog,8
ARGOS,F,dog,1
ARI,M,dog,12
ARI,F,dog,7
ARIA,F,human,403
ARIA,F,dog,8
ARIA,M,human,0
ARIA,M,dog,0
ARIAH,F,human,12
ARIAH,M,human,0
ARIANA,F,human,1312
ARIANA,M,human,0
ARIANE,F,human,5
ARIANE,M,human,0
ARIANNA,F,human,1556
ARIANNA,M,human,0
ARIEL,F,human,512
ARIEL,M,human,406
ARIEL,F,dog,20
ARIEL,M,dog,2
ARIELA,F,human,13
ARIELA,M,human,0
ARIELLA,F,human,306
ARIELLA,M,human,0
ARIELLE,F,human,272
ARIELLE,M,human,0
ARIES,M,dog,9
ARIES,F,dog,4
ARISHA,F,human,6
ARISHA,M,human,0
ARLO,M,dog,17
ARLO,F,dog,0
ARMANI,M,dog,8
ARMANI,F,dog,0
ARNOLD,M,dog,5
ARNOLD,F,dog,0
ARROW,M,dog,5
ARROW,F,dog,4
ARTEMIS,F,dog,9
ARTEMIS,M,dog,3
ARTHUR,M,dog,15
ARTHUR,F,dog,0
ARTIE,M,dog,5
ARTIE,F,dog,0
ARYA,F,human,119
ARYA,F,dog,14
ARYA,M,human,0
ARYA,M,dog,0
ARYANA,F,human,5
ARYANA,M,human,0
ARYANNA,F,human,16
ARYANNA,M,human,0
ASH,M,dog,13
ASH,F,dog,0
ASHANTI,F,human,10
ASHANTI,M,human,0
ASHER,M,dog,7
ASHER,F,dog,0
ASHLEE,F,human,22
ASHLEE,M,human,0
ASHLEY,F,human,2529
ASHLEY,F,dog,17
ASHLEY,M,dog,2
ASHLEY,M,human,0
ASIA,F,dog,13
ASIA,M,dog,0
ASPEN,M,dog,12
ASPEN,F,dog,6
ASTA,F,dog,7
ASTA,M,dog,1
ASTOR,M,dog,5
ASTOR,F,dog,2
ASTRID,F,human,10
ASTRID,F,dog,5
ASTRID,M,human,0
ASTRID,M,dog,0
ASTRO,M,dog,28
ASTRO,F,dog,1
ATARA,F,human,12
ATARA,M,human,0
ATHENA,F,human,212
ATHENA,F,dog,48
ATHENA,M,human,0
ATHENA,M,dog,0
ATLAS,M,dog,9
ATLAS,F,dog,3
ATTICUS,M,dog,26
ATTICUS,F,dog,0
AUBREE,F,human,43
AUBREE,M,human,0
AUBREY,F,human,358
AUBREY,M,human,0
AUDREY,F,human,575
AUDREY,F,dog,13
AUDREY,M,human,0
AUDREY,M,dog,0
AUGGIE,M,dog,8
AUGGIE,F,dog,3
AUGIE,M,dog,16
AUGIE,F,dog,3
AUGUST,M,human,208
AUGUST,M,dog,11
AUGUST,F,human,5
AUGUST,F,dog,1
AUGUSTUS,M,dog,19
AUGUSTUS,F,dog,1
AURORA,F,human,116
AURORA,F,dog,15
AURORA,M,human,0
AURORA,M,dog,0
AUSTIN,M,dog,25
AUSTIN,F,dog,0
AUTUMN,F,human,256
AUTUMN,F,dog,12
AUTUMN,M,dog,1
AUTUMN,M,human,0
AVA,F,human,2663
AVA,F,dog,50
AVA,M,dog,1
AVA,M,human,0
AVERY,F,human,651
AVERY,M,human,286
AVERY,F,dog,10
AVERY,M,dog,9
AVIGAIL,F,human,24
AVIGAIL,M,human,0
AVITAL,F,human,18
AVITAL,M,human,0
AVIVA,F,human,29
AVIVA,M,human,0
AVNEET,F,human,6
AVNEET,M,human,0
AVON,M,dog,5
AVON,F,dog,0
AWA,F,human,5
AWA,M,human,0
AXEL,M,dog,28
AXEL,F,dog,1
AYA,F,human,17
AYA,M,human,0
AYALA,F,human,6
AYALA,M,human,0
AYANA,F,human,14
AYANA,M,human,0
AYANNA,F,human,17
AYANNA,M,human,0
AYAT,F,human,6
AYAT,M,human,0
AYESHA,F,human,48
AYESHA,M,human,0
AYLA,F,human,35
AYLA,M,human,0
AYLEEN,F,human,5
AYLEEN,M,human,0
AYLIN,F,human,71
AYLIN,M,human,0
AZALEA,F,human,5
AZALEA,M,human,0
AZIZA,F,human,10
AZIZA,M,human,0
