name,gender,species,count
AALIYAH,F,dog,0
AALIYAH,F,human,1114
AALIYAH,M,dog,0
AALIYAH,M,human,0
AARON,F,dog,0
AARON,F,human,0
AARON,M,dog,6
AARON,M,human,0
AARYA,F,dog,0
AARYA,F,human,7
AARYA,M,dog,0
AARYA,M,human,0
ABBEY,F,dog,17
ABBEY,F,human,0
ABBEY,M,dog,0
ABBEY,M,human,0
ABBIE,F,dog,9
ABBIE,F,human,0
ABBIE,M,dog,0
ABBIE,M,human,0
ABBOTT,F,dog,0
ABBOTT,F,human,0
ABBOTT,M,dog,5
ABBOTT,M,human,0
ABBY,F,dog,107
ABBY,F,human,86
ABBY,M,dog,3
ABBY,M,human,0
ABE,F,dog,0
ABE,F,human,0
ABE,M,dog,7
ABE,M,human,0
ABIGAIL,F,dog,24
ABIGAIL,F,human,2471
ABIGAIL,M,dog,1
ABIGAIL,M,human,0
ABRAHAM,F,dog,0
ABRAHAM,F,human,0
ABRAHAM,M,dog,6
ABRAHAM,M,human,0
ABRIELLE,F,dog,0
ABRIELLE,F,human,5
ABRIELLE,M,dog,0
ABRIELLE,M,human,0
ACE,F,dog,0
ACE,F,human,0
ACE,M,dog,103
ACE,M,human,0
ACHILLES,F,dog,1
ACHILLES,F,human,0
ACHILLES,M,dog,28
ACHILLES,M,human,0
ADA,F,dog,7
ADA,F,human,94
ADA,M,dog,0
ADA,M,human,0
ADALYNN,F,dog,0
ADALYNN,F,human,6
ADALYNN,M,dog,0
ADALYNN,M,human,0
ADAM,F,dog,0
ADAM,F,human,0
ADAM,M,dog,8
ADAM,M,human,0
ADDIE,F,dog,14
ADDIE,F,human,0
ADDIE,M,dog,1
ADDIE,M,human,0
ADDISON,F,dog,9
ADDISON,F,human,163
ADDISON,M,dog,0
ADDISON,M,human,0
ADDY,F,dog,6
ADDY,F,human,0
ADDY,M,dog,0
ADDY,M,human,0
ADELAIDE,F,dog,10
ADELAIDE,F,human,32
ADELAIDE,M,dog,0
ADELAIDE,M,human,0
ADELE,F,dog,0
ADELE,F,human,99
ADELE,M,dog,0
ADELE,M,human,0
ADELINA,F,dog,0
ADELINA,F,human,5
ADELINA,M,dog,0
ADELINA,M,human,0
ADELINE,F,dog,5
ADELINE,F,human,25
ADELINE,M,dog,0
ADELINE,M,human,0
ADELYN,F,dog,0
ADELYN,F,human,6
ADELYN,M,dog,0
ADELYN,M,human,0
ADINA,F,dog,0
ADINA,F,human,148
ADINA,M,dog,0
ADINA,M,human,0
ADONIS,F,dog,0
ADONIS,F,human,0
ADONIS,M,dog,5
ADONIS,M,human,0
ADRIANA,F,dog,0
ADRIANA,F,human,793
ADRIANA,M,dog,0
ADRIANA,M,human,0
ADRIANNA,F,dog,0
ADRIANNA,F,human,365
ADRIANNA,M,dog,0
ADRIANNA,M,human,0
AGENT,F,dog,2
AGENT,F,human,0
AGENT,M,dog,4
AGENT,M,human,0
